name,tourism,geometry,latitude,longitude
法船石,attraction,POINT (121.509098 25.1350911),25.1350911,121.509098
葫蘆洲吊橋 遺址,attraction,POINT (121.6066125 25.0601184),25.0601184,121.6066125
五分吊橋 遺址,attraction,POINT (121.6139064 25.0652524),25.0652524,121.6139064
大屯山助航站觀景台,viewpoint,POINT (121.5226259 25.1746928),25.1746928,121.5226259
迪化207博物館,museum,POINT (121.5095244 25.0595142),25.0595142,121.5095244
第九號蒸汽車頭,attraction,POINT (121.5144472 25.0431969),25.0431969,121.5144472
騰雲號,attraction,POINT (121.5143844 25.0431973),25.0431973,121.5143844
天溪園由來景觀,viewpoint,POINT (121.5947283 25.1328873),25.1328873,121.5947283
自然生態演替區,viewpoint,POINT (121.5573332 25.0156602),25.0156602,121.5573332
涵洞遺址,viewpoint,POINT (121.5571837 25.0167867),25.0167867,121.5571837
賞蝶區,viewpoint,POINT (121.5573754 25.0160619),25.0160619,121.5573754
濕地生態觀察區,viewpoint,POINT (121.5574335 25.0151055),25.0151055,121.5574335
風衝林平台,viewpoint,POINT (121.5833072 25.1135268),25.1135268,121.5833072
黑桃平台,viewpoint,POINT (121.5808653 25.1096952),25.1096952,121.5808653
北農,attraction,POINT (121.5361978 25.1586472),25.1586472,121.5361978
梯田景觀,viewpoint,POINT (121.5851585 25.1309605),25.1309605,121.5851585
坪頂古圳水道涵洞口,attraction,POINT (121.583238 25.1346245),25.1346245,121.583238
風化岩壁景觀,attraction,POINT (121.6199542 25.0869313),25.0869313,121.6199542
廟中廟,attraction,POINT (121.6135711 25.0857832),25.0857832,121.6135711
風行咖啡觀光果園,attraction,POINT (121.5865665 25.1386289),25.1386289,121.5865665
風動草休閒農園,attraction,POINT (121.5871465 25.1388613),25.1388613,121.5871465
觀音山夕照,viewpoint,POINT (121.5671538 25.1012213),25.1012213,121.5671538
美麗華摩天輪,attraction,POINT (121.5577156 25.082807),25.082807,121.5577156
坪頂古圳取水源頭,attraction,POINT (121.5812902 25.1444166),25.1444166,121.5812902
台北探索館,museum,POINT (121.5641067 25.0374227),25.0374227,121.5641067
鯉魚山小人國,attraction,POINT (121.5928377 25.0951014),25.0951014,121.5928377
跨堤平台,viewpoint,POINT (121.522634 25.0201087),25.0201087,121.522634
心經牆,attraction,POINT (121.5864576 25.0916656),25.0916656,121.5864576
十八羅漢,attraction,POINT (121.5867331 25.0914006),25.0914006,121.5867331
台灣癌症博物館,museum,POINT (121.4718176 25.1293687),25.1293687,121.4718176
海關博物館,museum,POINT (121.5113667 25.0509158),25.0509158,121.5113667
國立臺灣大學醫學人文博物館,museum,POINT (121.5185329 25.0395961),25.0395961,121.5185329
硫磺谷,attraction,POINT (121.5234841 25.143663),25.143663,121.5234841
郵政博物館臺北館,museum,POINT (121.5115003 25.0470084),25.0470084,121.5115003
國史館展場,museum,POINT (121.5108938 25.0398684),25.0398684,121.5108938
福壽岩,viewpoint,POINT (121.591688 25.0307748),25.0307748,121.591688
基隆河城市景觀大景,viewpoint,POINT (121.5883718 25.0286073),25.0286073,121.5883718
樂水觀景台,viewpoint,POINT (121.5316265 25.1507468),25.1507468,121.5316265
樂山觀景台,viewpoint,POINT (121.5316392 25.1519192),25.1519192,121.5316392
石牌漢番界碑,attraction,POINT (121.5151774 25.1150719),25.1150719,121.5151774
梅花平台,viewpoint,POINT (121.5810612 25.1105178),25.1105178,121.5810612
巨木瞭望台,viewpoint,POINT (121.5806677 25.107898),25.107898,121.5806677
原住民族文化產業推展中心,museum,POINT (121.5194258 25.0315586),25.0315586,121.5194258
小尖山草莓園,attraction,POINT (121.5916271 25.099669),25.099669,121.5916271
人面石觀景點,viewpoint,POINT (121.5382406 25.1868908),25.1868908,121.5382406
大石展望點,viewpoint,POINT (121.5987097 25.1305097),25.1305097,121.5987097
